Job Title,Description,District,Work Mode
Trainee Programador Jr,"Perfil de Desarrollador/ Programador Junior\nRequisitos:\nCarreras universitarias sistemas a fines. (Egresado - Bachiller)\nProgramación en Java, .NET u otros.\nAlta capacidad analítica\nAlto grado de manejo de algoritmos\nDisponibilidad de trabajo presencial\nBeneficios\nLínea de carrera\nCapacitaciones\nEPS al 100%\nTrabajo bajo planilla","Miraflores, Lima, Peru",Híbrido
"Programador Full Stack (Java, React)","En\nValtx\n, empresa con 24 años de experiencia en el mercado peruano, cuyo objetivo principal es convertirse en un socio estratégico, mediante soluciones tecnológicas en los diversos aspectos de los procesos de negocios; el desarrollo, implementación y mantenimiento de aplicaciones e infraestructura tecnológica para el negocio; y consultoría en diversos procesos de transformación, nos encontramos en la búsqueda de un Programador Full Stack\nDesarrollar aplicaciones web y mobiles que cumplan buenas practicas de programación y desarrollo seguro (Indispensable)\nElaborar documentación técnica resultante de la implementación de requerimientos\nEspecificar, diseñar y mantener mecanismos para almacenar y acceder a datos.\nGarantizar la integración y despliegue continuo de los requerimientos implementados\nImplementar soluciones de IA para desarrollar features como chatbots, reconocimiento de imágenes o procesamiento de documentos.\n¿Qué requisitos necesito?\n- Egresado técnico o bachiller universitario en Ingeniería de Sistemas, Informática, Computación o carreras afines.\n- 3 años en integración y desarrollo de aplicaciones como fullstack\n- 1 año de experiencia en proyectos del sector financiero (deseable)\nConocimientos técnicos requeridos:\n1) Frontend: Dominio Obligatorio en React, NextJS,\n2) Backend: Dominio Obligatorio en Java, Python (Deseable: Nodejs, Nestjs)\n3) Bases de Datos: Conocimiento en MongoDB, Firebase, MySQL y SQL Server\n4) Infraestructura y DevOps:\nManejo de pipelines CI/CD (GitHub Actions, Jenkins, etc.).\nConocimiento en contenedores (Docker, Kubernetes).\nDeseable:\nAPIs de Cloud: OpenAI API, Google Gemini, Azure AI Services, AWS Bedrock/AI Services.\nFrameworks de integración: LangChain, LlamaIndex.\nBibliotecas de ML: Hugging Face transformers, TensorFlow Lite, PyTorch (para inferencia)\nConocimiento de estándares de seguridad (OWASP).\nManejo de herramientas DevOps (Docker, Kubernetes, Jenkins) para automatización de despliegues.\n-Disponibilidad para trabajar bajo modalidad presencial de L-V en San Borja\n¿Por qué Valtx?\nPorque creemos que el talento se potencia con propósito. En Valtx no solo desarrollamos tecnología, transformamos negocios y acompañamos a nuestros colaboradores en su desarrollo profesional, promoviendo una cultura colaborativa, cercana y orientada a la excelencia.\n¿Estás listo para construir soluciones que marcan la diferencia?\nPostula hoy y forma parte de un equipo que evoluciona contigo.","San Borja, Lima, Peru",Híbrido
Analista Desarrollador Java - Sector Administración de Fondos Colectivos,"En Experis Perú buscamos al mejor talento para sumarse a los desafíos de la era digital y llevar su carrera a un siguiente nivel. Por ello, te invitamos a que formes parte del reto como Analista Desarrollador Java en el rubro Administración de Fondos Colectivos.\nAnalista Desarrollador Java – Administración de Fondos Colectivos\nRequisitos para postular al cargo:\nTécnico/Bachiller o Egresado en la carrera de ingeniería de sistemas o afines\nConocimiento de Html, Java Script, Jquery, Css, IDE Netbeans, Bootstrap - Indispensable\nVisualStudio - Deseable\nIdioma Inglés a nivel básico\n2 años de experiencia en Oracle PL/SQL(indispensable)\n3 años de experiencia en Java(JSP).\nTrabajo presencial 100% Lunes a viernes: 8:30 a.m. a 6:00pm - Sábado: 8:30 a 1:00pm\nFunciones principales del puesto:\nLevantamiento de requerimientos documentada.\nConvertir las necesidades del negocio en productos de software.\nImplementar soluciones tecnológicas, aplicando las buenas prácticas en análisis, diseño y desarrollo de software.\nGestionar los requerimientos asignados por el Jefe de Sistemas.\nHacer seguimiento al desarrollo/pruebas/puesta en producción de la solución propuesta\nGestionar la demanda de los requerimientos.\nDiseñar, codificar y probar que los módulos de los programas cumplen con las especificaciones de diseño.\nRevisión del listado de pruebas, ejecutar y documentar las pruebas necesarias para asegurar que una aplicación o entorno técnico cumple con los requisitos de rendimiento.\nElaborar la documentación respectiva.\nLa empresa ofrece al candidato seleccionado:\nSalario acorde al mercado.\nCrecimiento profesional.\nPlanilla Directa cliente.\nUtilidades\nEn Experis Perú, promovemos la inclusión e inserción laboral sin distinción por razón de discapacidad, género, orientación, identidad y expresión de género, lugar de origen o generación. Por ello ¡Todos los talentos son bienvenidos!\n.","La Victoria, Lima, Peru",Híbrido
Desarrollador de integración OSB,"¡Sé parte de Stefanini!​\nEn Stefanini somos más de 30.000 genios, conectados desde 41 países, haciendo lo que les apasiona y co-creando un futuro mejor.​\nResponsabilidades y atribuciones:\nObjetivo del rol:\nIncorporar un profesional con experiencia en integración de servicios y APIs en entornos Cloud, para apoyar proyectos de modernización, despliegue de aplicaciones y gobierno de APIs.\nResponsabilidades principales\nDiseñar, exponer y consumir APIs seguras y escalables.\nImplementar soluciones de integración en entornos cloud y on-premise.\nAdministrar el ciclo de vida de APIs usando API Management y API Connect.\nConfigurar y optimizar clusters en AKS para despliegue de servicios.\nMantener y evolucionar integraciones en Oracle Service Bus.\nColaborar con equipos de desarrollo, arquitectura y operaciones para garantizar calidad y disponibilidad de los servicios.\nRequisitos y competencias:\nConocimientos sólidos en Cloud (preferible Azure o plataformas equivalentes).\nDiseño, desarrollo y administración de APIs.\nAPI Management (Azure) y API Connect (IBM).\nExperiencia con AKS – Azure Kubernetes Service.\nExperiencia con Oracle Service Bus y prácticas de integración\n/middleware.\nDeseable experiencia con microservicios y despliegue en contenedores.","Lima, Lima, Peru",Híbrido
Desarrollador Java Senior (Azure) - Temporal,"More digital. More human. More Minsait.\nSomos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible.\nBuscamos\nDesarrollador Java Senior (Azure) - Temporal con ganas de trabajar en nuestros equipos multidisciplinares.\n¿Cuál es el reto que te proponemos?\nEstarás en contacto continuo con las novedades tecnológicas, impulsando la transformación digital.\nParticiparás en proyectos y desarrollos que tienen una alta visibilidad y que marcan la diferencia con soluciones disruptivas y especializadas para toda la cadena de valor.\n¿Qué esperamos por tu parte?\nIngeniería de sistemas, informática, Industrial o afines.\nContar con mínimo 4 a 5 años de experiencia en:\nCore:\nConceptos: Clean code, SOLID, TDD, Patrones GoF\nPrácticas: Refactoring, Code Review, Unit Test, documentación con UML\nProgramación: Clases, objetos, colecciones, archivos, flujos, operadores.\nPOO: abstracción, interfaces, composición, polimorfismo, herencia\nJava: JDK 8, JDK 11.\nGit: checkout, ramas, tags, conflictos, merging\nSQL: tablas, columnas, consultas básicas, agregación, planes de ejecución\nPruebas unitarias: JUnit, Mockito, Lombok\nSpring Boot\nConceptos de microservicios\nAutenticación con OAuth2s y JWT\nConceptos y servicios en la nube: storage, computing, networking\nConceptos de CI/CD, devops y pipelines\nProgramación en shell: Bash, Z shell o PowerShell\nJava: Genéricos, excepciones, JDBC, networking\nMulti-threading: coordinación, bloqueo, IPC, recursos compartidos\nPatrones de concurrencia y mejora de rendimiento\nPatrones de refactoring, patrones de SOA\nGit: reset, revert, merge vs. rebase, log\nSQL: consultas anidadas, funciones de agrupación, tablas temporales\nDiseño de BD relacional: vistas, vistas materializadas, procedimientos almacenados, funciones\nPruebas unitarias\nRelevant:\nProgramación reactiva (Rx Java, Webflux)\nWeb Services SOAP, REST, JSON, XML, Swagger, OpenAPI\nSpring Boot y JPA\nDiseño de aplicaciones y APIs serverless\nCI/CD: pipelines automatizados, YAML\nProtocolos de encriptación y seguridad, llave pública y privada\nProgramación en shell: variables de ambiente, argumentos, bucles y condiciones\nConcepto de base de datos NO-SQL, MongoDB\nCondiciones laborales:\nModalidad: Hibrido (presencial martes y jueves) en Los Chorrillos o La Molina.\nHorarios: De lunes a viernes de 9 am a 6 pm.\nContrato temporal 3 meses\nMotivos por los que te encantará ser un #Minsaiter:\nPlanilla desde el día 1\nCarrera profesional y acceso a plataforma de capacitación adaptada a tus necesidades y motivaciones.\nEPS cubierta al 100%\nBeneficios corporativos\nMinsait, technology for a more human future!\nNuestro compromiso es promover ambientes de trabajo en los que se trate con respeto y dignidad a las personas, procurando el desarrollo profesional de la plantilla y garantizando la igualdad de oportunidades en su selección, formación y promoción ofreciendo un entorno de trabajo libre de cualquier discriminación por motivo de género, edad, discapacidad, orientación sexual, identidad o expresión de género, religión, etnia, estado civil o cualquier otra circunstancia personal o social.","Lima, Lima, Peru",Híbrido
Software Engineer Senior,"Centro, empresa de Tecnología, perteneciente al Grupo Gloria, como parte de su plan de crecimiento, se encuentra en la búsqueda de los mejores talentos para ocupar la posición de:\nSoftware Engineer Senior\nMisión:\nResponsable del desarrollo, mantenimiento y soporte a Aplicaciones Web & Mobile tanto a nivel de BackEnd y FrontEnd. Analisis técnico, sinergias con seguridad de la información, Arquitectura e infraestructura y elaborar propuesta de como desarrollar soluciones digitales escalables y robustas. Se debe garantizar la continuidad y persistencia principalmente de la solución de facturación electronica del Grupo, asi como otras soluciones relacionadas.\nFunciones:\nDesarrollar tanto el BackEnd y FrontEnd de las aplicaciones Web & Mobile.\nDiseño y desarrollo de base de datos relacional.\nMantenimiento de Aplicaciones Digitales Lecacys existentes.\nDesarrollo sobre Componentes AWS.\nImplementación & Despliegue Continuo Basico ( DevOps )\nElaboración de Propuesta Tecnica\nSoporte a Incidentes de Aplicaciones Existentes.\nRequisitos:\nUniversitario egresado de la carrera de Ingeniería de Sistemas, Software y/o afines.\nIngles a nivel intermedio.\nMetodología ágil Scrum y tradicional\nDesarrollo BackEnd ( Java Sprint Boot/Quakus, VB.net, Node Js, TypeScript, JavaScript, Nest Js).\nDesarrollo FrontEnd ( React, React Native, Next, TypeScript, StoryBook , React Query )\nBase de Datos (SQL Server, PostgresSQL, Aurora DB,MySQL )\nHerramientas de Control y versiona miento de código fuente ( BitBucket )\nImplementación & Despliegue Continuo DevOps\nDesarrollo sobre componentes AWS\nIntegración con sistemas legales, SAP & Seguridad de la Información.\nBeneficios:\n• Oportunidad de desarrollo Profesional.\n• EPS cubierta al 50%.\n• Venta de Productos empresa a precios especiales.\n• Beneficios de ley.\nCENTRO S.A. no solicita ningún tipo de pago o abono para participar en los procesos de reclutamiento y selección, ni en ninguna etapa del mismo (como referencias o verificaciones laborales). Somos una empresa incluyente, que respeta la diversidad y no hace ningún tipo de discriminación.","La Victoria, Lima, Peru",Híbrido
Auditor en Tasador de Joyas,"Somos una importante Entidad Financiera líder en el producto pignoraticio y microfinanzas, con un portafolio de diversos productos; y actualmente en crecimiento, por lo que requerimos incorporar a la compañía\n01 Auditor en Tasador de Joyas\nque cumplan con el siguiente perfil:\nREQUISITOS:\nProfesional con estudios en Administración, Contabilidad, Ingeniería Industrial, Economía, otros.\nExperiencia 4 años en tasación de joyas en Instituciones financieras.\nCursos y certificacion de metales preciosos.\nManejo de instrumentos de tasación de metales preciosos.\nFUNCIONES\nAplicar procedimientos de tasación mediante técnicas especializadas para determinar el valor económico de las joyas.\nEvaluar la autenticidad y características de las piedras preciosas.\nIdentificar daños y desgaste , verificando si tiene rayones u otros daños que afecten su valor.\nRedacción de informes de auditoría sobre retasación de Joyas.\nBENEFICIOS\nRemuneración acorde al mercado\nPlan de salud cubierto al 80% (EPS).\nBuen clima laboral\nGoce de convenios corporativos exclusivos para los colaboradores y sus familias; contamos con convenios educativos, recreativos, salud y mucho más; los cuales están al alcance de todos nuestros colaboradores.","San Isidro, Lima, Peru",Híbrido
Programador Electrico,"Requisitos:\nDisponibilidad para laborar en diferentes proyectos dentro de Lima.\nDiseñar, desarrollar y optimizar programas de control (PLC) y regularizar la maquinaria que se considera pertinente.\nConocimientos en mantenimiento y conexión de tableros eléctricos.\nElaboración de tableros de fuerza y control utilizando\nAutoCAD\ny\nEPLAN\n.\nCorregir errores de programación. Detectar posibles problemas eléctricos.\nProgramación de variadores de frecuencia y arrancadores suaves\nTécnico o egresado en Electricidad, Electrónica, Electrotecnia, Mecatrónica,Automatización Industrial o carreras afines.\nOfrecemos:\nIngreso a planilla desde el primer día con todos los beneficios de ley.\nEstabilidad laboral y buen clima de trabajo.\nOportunidad de desarrollo profesional en una empresa sólida.",Publicado hace 12 horas,Híbrido
ANALISTA PROGRAMADOR .NET/SQLSERVER,"En iQ Project, empresa apasionada por la tecnología, nos encontramos en la búsqueda del mejor talento para la posición de ANALISTA PROGRAMADOR .NET/SQLSERVER que comparta nuestra pasión y esté listo para asumir nuevos retos.\nREQUISITOS:\nExperiencia en:\nDesarrollo de aplicaciones Web en .Net\nDesarrollo de WebServices en .Net\nSQL , DTS y Reporting services\nAplicaciones en Cloud (MS Azure)\nUso del GitHub. Trabajo con metodologías ágiles.\nDeseable experiencia en:\nSector bancario.\nDesarrollo de microservicios.\nProgramación en Java. Angular.\nIngreso a planilla con todos los beneficios de ley\nModalidad híbrida",Desarrollador Genexus - Remoto,Híbrido
Programador Frontend Senior,"Vive la experiencia SONDA\n¡Aquí transformas tu carrera!\n¿Por qué ser parte de SONDA?\nPorque al igual que tú, amamos lo que hacemos, tenemos pasión por la innovación y estamos convencidos de que a través del conocimiento y de la tecnología no solo vamos a transformar los negocios de nuestros clientes, sino también el futuro.\nEn SONDA vivirás una experiencia de trabajo con diversas oportunidades de desarrollo personal y profesional. Un excelente lugar para aprender y contribuir a mejorar la calidad de vida de las personas por medio de la tecnología.\nBuscamos a un/a Desarrollador Frontend Senior que quiera aprender y transformar su carrera, con el siguiente perfil:\nLo que harás:\nParticiparás en el desarrollo de aplicaciones Frontend de alto impacto.\nColaborarás en arquitecturas basadas en microservicios y tecnologías modernas.\nFormarás parte de un equipo multidisciplinario que impulsa la transformación digital.\nLo que buscamos en ti:\nTitulado en Ingeniería de Sistemas, Informática o carreras afines; o técnico titulado en Informática o Sistemas o Computación o carreras afines a las Tecnologías de la Información.\nEgresado o Titulado de maestría relacionado a tecnologías de la información.\nExperiencia comprobada de 7 años como Desarrollador Frontend y desarrollo de software.\nExperiencia con microservicios.\nCurso o Taller en HTML5 O Java con Sprint o Hybernete o curso de Angular.\n¿Qué puedes esperar de nosotros?\nDesarrollo profesional y evolución constante de tus habilidades, siempre según tus intereses.\nUn ambiente colaborativo, diverso e innovador, que fomenta el trabajo en equipo.\n¿Qué ofrecemos?\nSONDA Academy, una plataforma educativa de aprendizaje constante que busca potenciar al máximo tu desarrollo profesional.\nSONDA Wellness, un programa que busca apoyarte en el balance de tu vida personal y profesional, promoviendo una serie de iniciativas enfocadas en tu salud física, mental y social.\nEPS al 100%\nUtilidades\nBono de alimentación\n¡Y mucho más!\nDiversidad +Inclusión = Innovación y colaboración\nEn SONDA estamos comprometidos con la diversidad. Fomentamos un ambiente inclusivo que garantice que los talentos puedan trabajar en un entorno positivo que los invite a desarrollar su carrera profesional en igualdad de oportunidades.\nPorque sabemos que un ambiente diverso es un elemento fundamental para impulsar la innovación, buscamos candidatos en función de su cualificación profesional, independientemente de su raza, color de piel, religión, edad, sexo, orientación sexual, identidad de género, nacionalidad o discapacidad.\n¡Sé parte de nuestro equipo!",Desarrollador Frontend Senior- REMOTO,Híbrido
